TestId,Protocol,TestDate,Location,DeviceOperator,KitOperator,DeviceId,KitId,KitLot,Usage,Input,InputGroup,InputC,Result,AsExpected,Well1,Well2,Well3,Well4,Well5,ResultComment
2021-04-21_NABITA003.6_1,WI-6 (v1),4/21/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.6,COVID-19 v.1,CEACA_20210421,Device release,Negative,Negative,0,Positive,Yes,101.2,16.2,25.6,34.1,33,Optical data indicates false positive - mvs threshold too low?
2021-04-21_NABITA004.6_1,WI-6 (v1),4/21/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA004.6,COVID-19 v.1,CEACA_20210421,Device release,Negative,Negative,0,Positive,Yes,132.4,15,9.5,29,24.4,Optical data indicates false positive - mvs threshold too low?
2021-04-21_NABITA003.6_2,WI-6 (v1),4/21/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.6,COVID-19 v.1,CEACB_20210421,Device release,Positive - aRNA24K,Gene N,"24,000",Positive,Yes,79.9,50.3,81.2,11.5,32.5,Optical data indicates Assay 2 false positive - mvs threshold too low?
2021-04-21_NABITA004.6_2,WI-6 (v1),4/21/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA004.6,COVID-19 v.1,CEACB_20210421,Device release,Positive - aRNA24K,Gene N,"24,000",Positive,Yes,99.6,73.3,54.4,16.2,21.8,
2021-04-22_NABITA003.7_1,WI-6 (v1),4/22/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,COVID-19 v.1,CEACA_20210421,Device release,Negative,Negative,0,Positive,No,140.8,17.7,25.5,53.2,24.3,Optical data indicates false positive - assay 2 beads suspicious
2021-04-22_NABITA004.7_1,WI-6 (v1),4/22/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA004.7,COVID-19 v.1,CEACB_20210421,Device release,Negative,Negative,0,Negative,Yes,108.1,14.2,6.9,20.1,27.8,
2021-04-22_NABITA003.7_2,WI-6 (v1),4/22/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,COVID-19 v.1,CEACC_20210421,Device release,Positive - GI24K,Positive,"24,000",Positive,Yes,86.7,83.6,139.9,136.2,298.6,
2021-04-22_NABITA004.7_2,WI-6 (v1),4/22/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA004.7,COVID-19 v.1,CEACC_20210421,Device release,Positive - GI24K,Positive,"24,000",Positive,Yes,111.9,62.8,51.9,97.4,155.2,
2021-04-22_NABITA003.7_3,WI-6 (v1),4/22/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,COVID-19 v.1,CEACD_20210422,Device release,Positive - aRNA24K,Gene N,"24,000",Device Fail,Fail,N/A,N/A,N/A,N/A,N/A,Battery died during test
2021-04-22_NABITA003.7_4,WI-6 (v1),4/22/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,COVID-19 v.1,CEACD_20210422,Device release,Negative,Negative,0,Negative,Yes,97.1,17.9,11.5,16.2,16,
2021-04-23_NABITA003.7_1,WI-6 (v1),4/23/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,COVID-19 v.1,CEACE_20210423,Device release,Positive - aRNA24K,Gene N,"24,000",Positive,Yes,99.5,87.5,92,34.8,23.7,
2021-04-23_NABITA001.9_1,WI-6 (v1),4/23/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.9,COVID-19 v.3,CEAC_20210412,Device release,Negative,Negative,0,Positive,NA,77.1,9.2,40.2,9.8,9.9,Cross well format with two positive controls - result accurate
